A & N Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra & Nagar Haveli,Daman & Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Miscellaneous,date
"94,939","51,98,955","1,96,075","21,47,838","60,61,183","1,71,295","49,04,625","39,698","40,780","27,40,053","2,92,306","1,03,08,883","33,33,546","16,16,831","20,86,235","26,67,531","82,74,897","61,05,329","77,203","19,615","70,64,866","1,37,92,116","2,28,147","2,51,301","2,21,756","1,65,818","49,67,746","1,72,234","30,83,481","1,10,86,073","1,62,323","47,30,022","42,25,048","9,15,984","1,05,07,449","16,86,003","87,25,790","16,80,481",2021-05-04
"95,314","52,42,484","1,98,919","21,70,773","61,05,905","1,74,417","49,11,837","39,831","40,981","27,96,271","2,95,620","1,03,83,723","33,72,017","16,35,184","21,23,473","26,75,223","83,47,732","61,12,746","79,168","19,750","70,87,932","1,39,15,088","2,39,359","2,56,409","2,25,105","1,68,445","49,79,757","1,73,041","31,29,157","1,11,67,216","1,62,673","47,53,074","42,71,681","9,18,570","1,05,90,061","16,98,434","87,33,710","16,83,771",2021-05-05
"96,017","52,75,927","2,02,234","22,04,065","61,49,968","1,77,729","49,20,177","39,941","41,207","28,77,331","3,00,071","1,04,54,001","34,40,581","16,56,155","21,52,632","26,83,024","84,06,980","61,28,668","80,912","19,838","71,18,526","1,41,62,312","2,48,329","2,63,467","2,28,855","1,70,091","49,95,571","1,73,867","31,76,837","1,12,31,650","1,63,340","47,83,045","43,21,827","9,22,039","1,06,71,374","17,19,526","87,43,034","16,86,676",2021-05-06
"96,702","53,05,880","2,04,766","22,67,864","61,85,149","1,80,958","49,26,238","40,095","41,603","29,45,498","3,04,465","1,05,22,995","35,04,875","16,69,330","21,88,417","26,91,177","84,43,913","61,53,727","81,744","19,923","71,23,166","1,43,83,450","2,55,855","2,70,542","2,30,488","1,71,595","50,11,769","1,74,721","32,17,128","1,12,98,842","1,63,675","48,14,633","43,71,198","9,26,237","1,07,45,272","17,33,697","87,55,459","16,89,400",2021-05-07
"97,202","53,21,023","2,06,638","23,34,686","62,16,512","1,84,636","49,31,083","40,244","41,820","30,35,798","3,08,443","1,05,86,908","35,54,704","16,78,113","22,12,016","27,00,008","84,69,643","61,69,344","82,790","19,955","71,63,413","1,45,42,681","2,62,930","2,74,314","2,30,871","1,71,744","50,26,362","1,75,469","32,51,966","1,13,70,196","1,63,823","48,35,514","43,73,909","9,28,883","1,08,15,768","17,45,564","87,64,229","16,91,342",2021-05-08
"97,284","53,26,721","2,07,216","23,54,056","63,18,173","1,87,057","49,34,246","40,303","41,899","30,36,965","3,09,994","1,06,36,530","35,89,324","16,80,758","22,18,533","27,06,426","84,77,264","61,69,750","82,919","19,970","71,64,043","1,46,22,137","2,63,115","2,74,374","2,30,871","1,72,178","50,29,216","1,75,642","32,73,379","1,14,28,249","1,63,849","48,42,616","43,74,338","9,29,101","1,08,17,123","17,52,485","87,65,395","16,91,368",2021-05-09
"97,829","53,27,494","2,09,450","24,18,087","64,44,938","1,89,917","49,41,032","40,389","42,121","31,30,604","3,13,476","1,07,08,126","36,57,685","16,92,397","22,31,970","27,17,923","85,00,925","61,92,936","83,808","20,078","72,01,837","1,47,76,548","2,72,944","2,83,318","2,32,513","1,74,486","50,44,922","1,76,524","33,11,504","1,15,55,728","1,64,141","48,72,906","43,76,576","9,32,494","1,09,08,035","17,80,970","87,74,324","16,93,519",2021-05-10
"98,215","53,28,552","2,11,059","24,69,020","65,46,280","1,92,703","49,48,086","40,466","42,310","32,14,877","3,17,060","1,07,87,729","37,21,860","17,01,198","22,44,259","27,29,248","85,50,656","62,10,968","84,320","20,358","72,05,722","1,50,04,133","2,80,275","2,93,321","2,33,731","1,76,227","50,72,339","1,77,130","33,54,318","1,16,80,175","1,64,311","49,02,595","43,78,806","9,35,719","1,10,06,879","18,14,212","87,85,144","16,95,473",2021-05-11
"98,564","53,30,276","2,12,634","24,99,093","66,38,656","1,95,168","49,57,168","40,566","42,516","32,77,102","3,20,771","1,08,60,213","37,69,135","17,08,753","22,51,992","27,41,173","85,99,750","62,27,392","84,923","20,519","72,73,080","1,51,54,480","2,88,458","3,02,280","2,35,142","1,77,837","50,98,052","1,77,642","33,89,032","1,17,93,385","1,64,479","49,37,244","43,80,920","9,36,558","1,11,34,848","18,41,778","87,99,321","16,97,480",2021-05-12
"98,828","53,32,845","2,14,480","25,35,166","67,64,692","1,98,100","49,66,175","41,504","43,675","33,60,072","3,25,994","1,09,45,378","38,27,652","17,22,220","22,55,270","27,50,542","86,44,671","62,36,840","85,330","20,554","73,33,275","1,52,87,399","2,94,064","3,11,546","2,36,835","1,79,882","51,26,334","1,78,414","34,14,625","1,18,58,172","1,64,686","49,78,091","43,83,334","9,39,723","1,12,80,730","18,68,151","88,14,904","16,99,273",2021-05-13
"98,837","53,33,983","2,15,661","25,56,805","68,88,249","2,01,426","49,73,490","42,523","45,095","33,64,123","3,31,220","1,09,78,124","38,65,314","17,29,593","22,64,605","27,90,722","86,59,073","62,57,447","85,330","20,555","73,33,762","1,53,44,900","2,99,447","3,19,553","2,37,504","1,80,740","51,48,647","1,79,241","34,27,100","1,18,95,029","1,64,814","50,05,098","43,85,309","9,40,372","1,13,91,619","18,96,860","88,24,252","16,99,273",2021-05-14
"99,085","53,37,775","2,17,451","26,48,044","71,48,062","2,06,540","49,83,782","45,326","48,245","35,23,829","3,42,573","1,10,40,205","39,46,312","17,48,284","22,83,447","28,81,446","86,91,217","64,18,962","86,271","20,588","73,94,957","1,55,12,475","3,06,746","3,27,661","2,38,215","1,81,266","51,76,084","1,80,976","34,45,447","1,21,28,406","1,65,261","50,43,505","43,85,414","9,42,167","1,15,09,435","19,41,293","88,50,282","17,00,736",2021-05-16
"99,514","53,44,541","2,22,938","27,08,136","72,54,529","2,10,801","49,88,526","47,358","48,975","36,17,488","3,48,457","1,10,40,435","40,05,701","17,71,369","22,97,300","29,34,368","87,59,169","64,74,733","87,124","20,702","74,65,455","1,55,84,197","3,15,385","3,34,321","2,40,098","1,85,316","52,28,704","1,81,942","34,52,562","1,22,87,103","1,65,974","50,83,368","43,85,864","9,49,974","1,17,21,943","19,69,899","88,91,796","17,02,162",2021-05-17
"99,792","53,49,866","2,28,541","27,59,467","73,23,327","2,14,399","49,93,070","47,358","49,410","37,06,105","3,55,380","1,10,40,715","40,66,917","17,92,687","23,09,920","29,84,496","88,28,574","65,19,860","88,110","20,957","74,68,995","1,56,69,832","3,20,211","3,39,301","2,42,712","1,90,693","53,27,488","1,82,786","34,57,841","1,24,11,685","1,66,701","51,18,546","43,86,463","9,70,370","1,19,18,603","19,93,013","89,35,993","17,03,718",2021-05-18
"1,00,295","53,56,609","2,33,711","27,92,170","73,71,620","2,18,104","49,97,711","48,747","50,952","37,67,910","3,62,946","1,10,42,079","41,17,596","18,08,316","23,17,478","30,32,897","88,96,780","65,34,948","89,337","21,168","75,94,466","1,57,43,864","3,28,621","3,43,029","2,45,986","1,92,775","53,95,085","1,83,733","34,77,087","1,24,86,000","1,68,186","51,52,220","43,86,757","9,78,951","1,20,91,369","20,05,269","89,83,654","17,05,244",2021-05-19
"1,02,026","55,39,622","2,40,174","28,59,742","76,48,604","2,27,700","57,25,589","51,702","55,987","38,47,988","3,71,936","1,13,21,155","42,66,919","18,70,868","23,70,353","31,17,897","92,27,485","65,78,076","91,095","22,186","77,98,297","1,61,23,408","3,33,270","3,49,881","2,50,241","1,94,818","55,32,422","1,89,089","38,03,444","1,27,02,212","1,71,353","53,28,541","44,52,048","10,20,480","1,24,99,628","20,62,874","91,45,516","17,06,694",2021-05-20
"1,02,792","55,48,611","2,43,357","28,97,835","77,37,203","2,31,897","57,55,505","54,654","59,439","38,89,621","3,80,691","1,14,06,798","43,44,885","18,89,598","23,83,047","31,64,290","93,01,288","65,92,745","93,205","22,586","78,88,178","1,62,22,952","3,39,924","3,55,598","2,52,192","1,95,377","55,78,382","1,91,390","38,72,115","1,28,00,659","1,73,078","53,64,809","44,52,449","10,27,700","1,26,99,287","20,77,777","92,01,086","17,08,478",2021-05-21
"1,03,987","55,65,294","2,45,968","29,72,428","79,45,059","2,40,743","57,97,691","60,213","64,775","39,40,310","3,90,864","1,15,96,019","44,39,693","19,03,308","24,35,402","32,43,536","94,68,279","66,27,947","94,876","24,207","81,96,353","1,63,70,365","3,43,680","3,61,472","2,52,190","1,95,650","56,75,171","1,95,178","40,21,416","1,30,03,735","1,74,662","54,28,324","44,53,573","10,46,759","1,29,10,356","21,02,378","93,28,620","17,09,768",2021-05-23
"1,04,438","56,57,588","2,48,977","30,33,982","81,25,409","2,45,777","58,16,399","62,989","67,917","39,80,899","3,96,582","1,17,60,578","45,31,426","19,24,861","24,70,791","32,91,555","96,11,607","66,81,079","96,799","24,344","84,06,437","1,66,07,417","3,50,818","3,66,491","2,53,879","2,01,514","57,82,898","1,97,946","40,76,224","1,31,43,982","1,75,952","55,07,034","44,54,220","10,52,913","1,31,80,187","21,25,998","95,06,287","17,11,180",2021-05-24
"1,05,123","57,81,754","2,50,445","30,90,486","82,38,708","2,48,680","58,30,242","65,420","71,456","40,14,576","4,02,383","1,19,30,254","45,96,092","19,43,115","25,06,549","33,28,050","97,48,053","67,36,439","99,023","24,383","84,12,107","1,67,91,838","3,54,004","3,72,110","2,55,368","2,07,799","58,76,860","2,00,454","41,08,914","1,32,32,595","1,77,224","56,79,909","44,62,036","10,58,049","1,34,36,943","21,47,406","96,50,872","17,13,874",2021-05-25
"1,05,932","60,76,647","2,51,246","31,21,334","83,09,462","2,50,116","58,43,954","67,689","75,070","40,45,357","4,08,278","1,20,95,693","46,45,105","19,50,294","25,54,142","33,50,298","99,38,507","67,67,010","1,01,179","24,445","84,14,188","1,69,20,616","3,65,745","3,75,497","2,56,097","2,08,821","59,26,992","2,03,180","41,42,075","1,33,05,224","1,78,314","59,40,657","44,76,636","10,60,345","1,36,81,405","21,55,996","97,17,657","17,14,125",2021-05-26
"106,543","6,646,051","252,177","3,162,510","8,356,625","255,005","5,856,511","70,128","78,394","4,078,916","414,064","12,265,993","4,710,972","1,971,768","2,613,736","3,364,585","10,151,884","6,878,833","107,108","24,487","8,635,394","17,181,179","368,787","380,820","257,521","209,583","6,024,028","205,967","4,165,757","13,361,360","179,062","6,230,848","4,494,535","1,062,996","13,948,710","2,174,819","9,886,306","1,716,130",2021-05-27
"1,07,301","70,75,808","2,53,267","32,03,869","83,86,351","2,59,618","58,69,748","72,552","82,142","40,99,366","4,20,094","1,24,46,432","47,69,161","19,85,472","26,62,281","33,91,076","1,03,90,751","70,21,207","1,12,811","24,725","88,52,109","1,74,26,603","3,73,859","3,85,582","2,60,316","2,10,301","61,38,143","2,09,110","41,80,268","1,34,74,390","1,79,121","65,23,932","45,73,867","10,67,107","1,42,43,499","21,92,106","1,01,37,192","17,17,716",2021-05-28
"1,08,314","72,70,166","2,54,387","32,46,474","84,30,150","2,64,562","58,78,553","75,447","85,190","41,38,523","4,26,504","1,26,29,180","48,15,133","19,96,121","26,99,374","34,23,927","1,06,21,578","71,60,260","1,16,833","25,237","90,95,772","1,76,99,104","3,80,673","3,89,325","2,62,293","2,10,545","62,36,232","2,12,331","42,16,868","1,36,66,242","1,79,179","67,82,968","46,67,791","10,80,642","1,45,42,802","22,07,776","1,04,03,305","17,17,716",2021-05-29
"1,08,556","72,82,314","2,54,719","32,64,939","84,65,262","2,68,422","58,84,836","76,543","87,262","41,47,862","4,29,365","1,27,85,874","48,39,906","19,97,445","27,21,398","34,50,499","1,07,03,028","71,80,189","1,16,853","25,903","91,12,557","1,77,74,757","3,80,866","3,89,872","2,62,364","2,10,628","62,55,145","2,14,450","42,44,474","1,37,63,262","1,79,179","68,72,673","47,31,033","10,94,440","1,45,58,288","22,17,786","1,05,42,706","17,17,716",2021-05-30
"1,09,084","73,50,968","2,55,589","33,04,145","85,14,462","2,74,422","58,92,189","78,964","91,091","41,85,072","4,33,834","1,29,58,838","48,91,726","20,22,506","27,54,337","34,83,409","1,09,24,013","73,34,216","1,22,247","26,727","93,75,056","1,80,05,790","3,87,473","3,91,357","2,64,123","2,16,970","63,78,928","2,17,963","42,74,207","1,38,97,166","1,79,263","70,61,570","47,96,912","11,03,052","1,48,51,890","22,34,626","1,08,34,957","17,21,024",2021-05-31
"1,09,815","75,43,454","2,58,147","33,36,812","85,60,053","2,80,190","58,97,444","81,244","94,713","42,19,039","4,38,255","1,31,21,339","49,52,721","20,37,219","27,83,305","35,11,232","1,11,25,563","74,82,792","1,26,904","27,658","93,91,831","1,82,16,503","3,91,758","3,93,522","2,65,115","2,22,998","64,77,001","2,21,199","43,02,436","1,39,85,177","1,79,311","71,85,963","48,69,942","11,07,254","1,51,73,873","22,47,605","1,10,71,085","17,21,024",2021-06-01
